set,bug,state,state-2,source,drug,replicate,mic1,mic2,mbc1,mbc2
P,pseudomonas,evolved,evolved,own,rxr-acpp,1,7.5,3.75,,
P,pseudomonas,evolved,evolved,own,rxr-acpp,2,7.5,7.5,,
P,pseudomonas,evolved,evolved,own,rxr-acpp,3,3.75,3.75,,
P,pseudomonas,evolved,evolved,own,rxr-acpp,4,3.75,3.75,,
P,pseudomonas,evolved,evolved,own,rxr-acpp,5,7.5,7.5,,
P,pseudomonas,evolved,evolved,own,rxr-acpp,6,3.75,3.75,,
P,pseudomonas,evolved,evolved,own,rxr-acpp,7,3.75,7.5,,
P,pseudomonas,evolved,evolved,own,rxr-acpp,8,3.75,3.75,,
P,pseudomonas,evolved,evolved,own,rxr-acpp,9,7.5,7.5,,
P,pseudomonas,evolved,evolved,own,rxr-acpp,10,7.5,7.5,,
K,klebsiella,evolved,evolved,own,kff-acpp,1,20,20,20,40
K,klebsiella,evolved,evolved,own,kff-acpp,2,10,5,20,20
K,klebsiella,evolved,evolved,own,kff-acpp,3,2.5,2.5,2.5,2.5
K,klebsiella,evolved,evolved,own,kff-acpp,4,2.5,2.5,5,5
K,klebsiella,evolved,evolved,own,kff-acpp,5,20,40,20,20
K,klebsiella,evolved,evolved,own,kff-acpp,6,20,20,20,20
K,klebsiella,evolved,evolved,own,kff-acpp,7,20,20,20,20
K,klebsiella,evolved,evolved,own,kff-acpp,8,20,20,20,20
K,klebsiella,evolved,evolved,own,kff-acpp,9,2.5,2.5,2.5,5
K,klebsiella,evolved,evolved,own,kff-acpp,10,2.5,2.5,2.5,2.5
S,salmonella,evolved,evolved,own,kff-acpp,1,20,20,40,20
S,salmonella,evolved,evolved,own,kff-acpp,2,20,20,80,160
S,salmonella,evolved,evolved,own,kff-acpp,3,40,40,160,80
S,salmonella,evolved,evolved,own,kff-acpp,4,10,20,40,80
S,salmonella,evolved,evolved,own,kff-acpp,5,10,10,20,40
S,salmonella,evolved,evolved,own,kff-acpp,6,10,10,20,40
S,salmonella,evolved,evolved,own,kff-acpp,7,10,10,40,40
S,salmonella,evolved,evolved,own,kff-acpp,8,5,5,5,5
S,salmonella,evolved,evolved,own,kff-acpp,9,20,10,80,40
S,salmonella,evolved,evolved,own,kff-acpp,10,20,20,40,80
U,upec,evolved,evolved,own,kff-acpp,1,2.5,2.5,2.5,2.5
U,upec,evolved,evolved,own,kff-acpp,2,2.5,2.5,2.5,2.5
U,upec,evolved,evolved,own,kff-acpp,3,2.5,2.5,2.5,2.5
U,upec,evolved,evolved,own,kff-acpp,4,2.5,2.5,2.5,2.5
U,upec,evolved,evolved,own,kff-acpp,5,5,2.5,5,2.5
U,upec,evolved,evolved,own,kff-acpp,6,2.5,1.25,2.5,1.25
U,upec,evolved,evolved,own,kff-acpp,7,5,2.5,5,2.5
U,upec,evolved,evolved,own,kff-acpp,8,5,5,5,5
